"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"63","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.721,0.751,0.751,10,-6.203,0,0.125,0.162,6.59e-06,0.118,0.118,0.738,140.095,"3B4etxytImrRKQgV3XHjnR",185480,FALSE,FALSE,"Harleys In Hawaii",10,"track","Smile","A#","minor","A# minor"
"64","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.71,0.46,0.46,0,-7.56,1,0.0492,0.297,0,0.106,0.106,0.228,98.033,"6lWp5O5XH6smTt4vzd4Mgy",198724,TRUE,FALSE,"Only Love",11,"track","Smile","C","major","C major"
"65","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2020-08-28",2020,"day",0.363,0.594,0.594,2,-7.847,1,0.079,0.184,0,0.106,0.106,0.257,94.639,"2czhdHhprTLjvlIzj56jQt",131271,TRUE,FALSE,"What Makes A Woman",12,"track","Smile","D","major","D major"
"66","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.599,0.614,0.614,6,-8.811,0,0.0548,0.0351,0.00017,0.106,0.106,0.123,119.831,"6EzuVdWmzgOBmqHpzbbzfQ",250506,TRUE,FALSE,"Witness",1,"track","Witness (Deluxe)","F#","minor","F# minor"
"67","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.653,0.703,0.703,9,-5.632,1,0.0982,0.0516,0,0.0521,0.0521,0.488,134.064,"3tqwKg0W8XfYORNrP4aIhu",214960,TRUE,FALSE,"Hey Hey Hey",2,"track","Witness (Deluxe)","A","major","A major"
"68","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.639,0.644,0.644,6,-4.5,0,0.0319,0.0133,1.37e-05,0.119,0.119,0.413,112.038,"2rk4s5NBhtHhhJIfjoaWES",198680,FALSE,FALSE,"Roulette",3,"track","Witness (Deluxe)","F#","minor","F# minor"
"69","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.838,0.705,0.705,5,-5.201,0,0.0449,0.0184,1.82e-05,0.102,0.102,0.583,119.953,"3OtMnyUaiipcAT23A8liyi",242520,TRUE,FALSE,"Swish Swish",4,"track","Witness (Deluxe)","F","minor","F minor"
"70","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.636,0.607,0.607,9,-6.895,0,0.064,0.318,0.00081,0.094,0.094,0.165,120.061,"60XMmxciP1qewvkcD16qKQ",197840,FALSE,FALSE,"Déjà Vu",5,"track","Witness (Deluxe)","A","minor","A minor"
"71","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.559,0.61,0.61,5,-4.717,0,0.0927,0.0364,1.05e-06,0.0779,0.0779,0.376,142.146,"6Bat8YJaSEVzWwYFHqgqep",226466,TRUE,FALSE,"Power",6,"track","Witness (Deluxe)","F","minor","F minor"
"72","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.558,0.474,0.474,7,-7.526,1,0.0571,0.515,2.53e-06,0.0848,0.0848,0.228,119.941,"6W20KhhJcEhRh71l5hQq8C",248173,FALSE,FALSE,"Mind Maze",7,"track","Witness (Deluxe)","G","major","G major"
"73","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.538,0.48,0.48,2,-8.075,1,0.0335,0.221,0,0.113,0.113,0.253,123.808,"7BZSIG9TyowrVzSdZJpmeI",234280,FALSE,FALSE,"Miss You More",8,"track","Witness (Deluxe)","D","major","D major"
"74","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.562,0.8,0.8,0,-5.404,1,0.112,0.0814,0,0.199,0.199,0.471,95.029,"7qvxFz3JodM0A7xEM7k3YD",237733,FALSE,FALSE,"Chained To The Rhythm",9,"track","Witness (Deluxe)","C","major","C major"
"75","Katy Perry","6jJ0s89eD6GaHleKKya26X","album","2017-06-09",2017,"day",0.586,0.561,0.561,0,-6.594,0,0.0817,0.0324,0,0.107,0.107,0.446,161.906,"0frWUvNyEqlfy1WAxBAFbb",203133,FALSE,FALSE,"Tsunami",10,"track","Witness (Deluxe)","C","minor","C minor"
